lyrics,artiste
I wanna teach you things you never knew baby,Adele
Bring the floor up to my knees,Adele
Let me fall into your gravity,Adele
And kiss me back to life to see,Adele
Your body standing over me Baby don't let the lights go down,Adele
Baby don't let the lights go down,Adele
Baby don't let the lights go down,Adele
Lights go down lights go down,Adele
Lights go down lights go down,Adele
Down down down down I miss you when the lights go out,Adele
It illuminates all of my doubts,Adele
Pull me in hold me tight,Adele
Don't let go baby give me light,Adele
I miss you when the lights go out,Adele
It illuminates all of my doubts,Adele
Pull me in hold me tight,Adele
Don't let go baby give me light I love the way your body moves,Adele
Towards me from across the room,Adele
